,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'Books'}),frozenset({'Fitness Bands'}),0.22,0.23166666666666666,0.06833333333333333,0.3106060606060606,1.340745585349902,1.0,0.017366666666666662,1.1145054945054944,0.32582864290181357,0.1782608695652174,0.10274107671070797,0.3027850446915195
1,frozenset({'Fitness Bands'}),frozenset({'Books'}),0.23166666666666666,0.22,0.06833333333333333,0.2949640287769784,1.340745585349902,1.0,0.017366666666666662,1.106326530612245,0.33077614941008404,0.1782608695652174,0.09610772920125438,0.3027850446915195
9,frozenset({'Shoes'}),frozenset({'Laptop'}),0.21,0.19,0.05,0.2380952380952381,1.2531328320802007,1.0,0.010100000000000005,1.063125,0.25569620253164566,0.14285714285714285,0.05937683715461494,0.2506265664160401
8,frozenset({'Laptop'}),frozenset({'Shoes'}),0.19,0.21,0.05,0.2631578947368421,1.2531328320802004,1.0,0.010100000000000005,1.072142857142857,0.24938271604938278,0.14285714285714285,0.06728847435043303,0.2506265664160401
6,frozenset({'Home Decor'}),frozenset({'Protein Bar'}),0.23166666666666666,0.24166666666666667,0.07,0.30215827338129503,1.2503100967501863,1.0,0.014013888888888895,1.086683848797251,0.2605619254209277,0.1735537190082645,0.07976915171159785,0.29590672289754405
7,frozenset({'Protein Bar'}),frozenset({'Home Decor'}),0.24166666666666667,0.23166666666666666,0.07,0.2896551724137931,1.2503100967501861,1.0,0.014013888888888895,1.0816343042071197,0.2639979068550498,0.1735537190082645,0.07547310943226872,0.29590672289754405
3,frozenset({'Fitness Bands'}),frozenset({'Organic Food'}),0.23166666666666666,0.21833333333333332,0.06166666666666667,0.26618705035971224,1.2191773298918118,1.0,0.011086111111111116,1.0652124183006537,0.23398018408864404,0.1587982832618026,0.061220107069994346,0.27431489922565766
2,frozenset({'Organic Food'}),frozenset({'Fitness Bands'}),0.21833333333333332,0.23166666666666666,0.06166666666666667,0.2824427480916031,1.2191773298918118,1.0,0.011086111111111116,1.0707624113475178,0.22998905088457336,0.1587982832618026,0.06608600619297582,0.27431489922565766
5,frozenset({'Protein Bar'}),frozenset({'Groceries'}),0.24166666666666667,0.21,0.06166666666666667,0.25517241379310346,1.2151067323481117,1.0,0.010916666666666672,1.0606481481481482,0.23344223344223355,0.1581196581196581,0.0571802706241816,0.27441160372194856
4,frozenset({'Groceries'}),frozenset({'Protein Bar'}),0.21,0.24166666666666667,0.06166666666666667,0.29365079365079366,1.2151067323481117,1.0,0.010916666666666672,1.0735955056179776,0.224084844338009,0.1581196581196581,0.06855049712192571,0.27441160372194856
